aX,aY,aZ,gX,gY,gZ
0.720,-1.099,1.266,269.023,-230.824,-23.420
0.720,-1.099,1.266,268.779,-233.542,-23.847
0.755,-1.107,1.263,268.626,-235.252,-24.153
0.766,-1.106,1.271,268.351,-237.130,-24.595
0.779,-1.109,1.264,266.794,-244.611,-25.649
0.850,-1.116,1.259,264.290,-251.206,-26.031
0.900,-1.101,1.274,259.664,-255.618,-24.427
0.960,-1.107,1.270,253.603,-255.740,-21.939
1.048,-1.125,1.273,244.931,-251.359,-18.305
1.137,-1.130,1.292,233.924,-243.542,-14.000
1.208,-1.166,1.333,220.473,-233.435,-9.679
1.265,-1.213,1.392,204.962,-222.336,-6.733
1.294,-1.255,1.470,189.344,-213.221,-5.481
1.308,-1.311,1.545,173.802,-207.130,-6.275
1.317,-1.357,1.621,160.885,-203.588,-8.550
1.338,-1.408,1.739,150.107,-203.878,-11.496
1.378,-1.435,1.827,142.046,-208.290,-14.824
1.432,-1.461,1.929,135.985,-215.023,-16.885
1.482,-1.490,2.000,131.145,-223.496,-17.176
1.540,-1.512,2.000,127.267,-232.000,-16.122
1.604,-1.517,2.000,123.313,-241.450,-13.618
1.656,-1.505,2.000,119.496,-251.420,-9.695
1.698,-1.510,2.000,114.992,-261.603,-4.351
1.738,-1.510,2.000,109.481,-272.809,2.031
1.735,-1.536,2.000,102.641,-284.290,9.053
1.714,-1.573,2.000,95.924,-296.382,15.969
1.670,-1.600,2.000,88.183,-308.687,22.611
1.591,-1.649,2.000,79.313,-321.557,29.115
1.495,-1.722,2.000,69.328,-332.534,34.183
1.380,-1.822,2.000,58.809,-342.534,36.779
1.290,-1.899,2.000,48.076,-351.679,36.214
1.166,-1.977,2.000,37.099,-360.840,31.618
1.037,-2.000,2.000,24.962,-370.580,23.817
0.949,-2.000,2.000,12.718,-380.595,14.244
0.902,-2.000,2.000,-1.008,-391.664,3.878
0.857,-2.000,2.000,-14.641,-402.412,-4.977
0.814,-1.969,2.000,-29.099,-411.695,-12.626
0.757,-1.927,2.000,-42.809,-417.649,-18.321
0.684,-1.901,2.000,-55.939,-420.672,-22.168
0.617,-1.879,2.000,-68.366,-421.908,-25.389
0.515,-1.836,2.000,-80.855,-421.176,-29.908
0.417,-1.797,2.000,-91.863,-419.359,-35.863
0.301,-1.763,2.000,-101.664,-416.641,-43.466
0.192,-1.731,1.949,-110.290,-412.687,-52.519
0.079,-1.697,1.880,-117.634,-407.176,-63.069
-0.045,-1.663,1.828,-124.489,-400.260,-76.534
-0.172,-1.636,1.790,-130.641,-390.214,-93.344
-0.260,-1.597,1.737,-133.740,-377.634,-114.672
-0.311,-1.493,1.692,-132.595,-362.702,-137.328
-0.318,-1.329,1.654,-126.366,-347.252,-158.672
-0.325,-1.223,1.609,-117.130,-334.748,-174.366
-0.348,-1.099,1.573,-105.099,-324.733,-184.168
-0.403,-1.004,1.488,-90.611,-315.878,-188.168
-0.476,-0.883,1.465,-75.435,-309.405,-189.466
-0.562,-0.767,1.398,-59.878,-305.740,-188.992
-0.663,-0.639,1.312,-43.267,-305.252,-186.794
-0.759,-0.547,1.218,-24.779,-305.939,-183.863
-0.840,-0.451,1.108,-6.122,-307.099,-182.107
-0.896,-0.361,1.000,11.893,-307.176,-181.481
-0.915,-0.272,0.898,27.802,-305.008,-183.008
-0.906,-0.175,0.799,40.519,-300.122,-186.290
-0.870,-0.059,0.694,49.649,-291.527,-190.733
-0.815,0.077,0.595,55.634,-280.260,-195.802
-0.754,0.242,0.509,58.672,-266.412,-199.420
-0.689,0.418,0.404,59.695,-249.221,-201.069
-0.619,0.598,0.339,59.282,-228.992,-198.901
-0.573,0.780,0.267,57.740,-206.107,-191.847
-0.548,0.951,0.208,55.084,-183.832,-180.901
-0.522,1.109,0.135,51.435,-161.649,-167.176
-0.518,1.233,0.064,47.282,-140.855,-150.809
-0.469,1.399,-0.004,42.153,-122.382,-132.702
-0.435,1.483,-0.062,36.702,-104.397,-111.756
-0.396,1.560,-0.104,31.496,-88.137,-89.145
-0.373,1.579,-0.128,26.229,-73.573,-67.359
-0.353,1.567,-0.145,20.718,-59.038,-45.542
-0.350,1.513,-0.137,13.588,-43.389,-23.221
-0.380,1.444,-0.114,6.611,-29.924,-2.702
-0.407,1.380,-0.127,-0.183,-20.076,16.260
-0.462,1.298,-0.136,-6.687,-13.206,34.275
-0.526,1.198,-0.117,-13.023,-9.496,50.779
-0.584,1.079,-0.139,-19.817,-7.542,66.107
-0.622,0.991,-0.169,-26.153,-6.794,80.229
-0.664,0.855,-0.220,-32.061,-6.000,93.160
-0.689,0.722,-0.267,-37.496,-4.229,104.458
-0.676,0.589,-0.304,-42.580,-1.206,115.160
-0.664,0.501,-0.305,-46.611,2.198,123.786
-0.644,0.390,-0.319,-50.534,7.328,130.321
-0.608,0.286,-0.317,-54.885,12.840,134.046
-0.564,0.183,-0.316,-59.344,20.443,135.893
-0.515,0.080,-0.317,-63.359,30.198,136.244
-0.493,0.002,-0.292,-65.908,39.664,135.573
-0.458,-0.085,-0.263,-67.863,49.802,133.954
-0.422,-0.174,-0.227,-68.702,60.275,131.817
-0.394,-0.256,-0.179,-69.252,69.985,128.779
-0.364,-0.323,-0.132,-69.588,78.336,125.618
-0.337,-0.399,-0.092,-70.046,85.053,122.305
-0.307,-0.473,-0.050,-70.779,90.443,118.733
-0.273,-0.554,-0.008,-70.504,94.244,115.145
-0.236,-0.605,0.020,-69.252,96.550,111.557
-0.186,-0.681,0.068,-66.641,98.031,107.420

1.005,-1.037,0.958,259.160,-277.359,-74.031
1.023,-1.039,0.958,257.939,-278.641,-73.511
1.034,-1.038,0.971,256.779,-279.817,-72.885
1.034,-1.038,0.971,255.588,-281.099,-72.214
1.080,-1.056,1.001,251.145,-285.756,-69.130
1.140,-1.089,1.023,245.435,-291.176,-63.710
1.193,-1.124,1.041,240.427,-296.260,-56.992
1.258,-1.157,1.043,235.053,-301.328,-50.000
1.324,-1.198,1.037,230.214,-307.374,-42.550
1.398,-1.259,1.062,226.092,-310.580,-35.603
1.476,-1.327,1.105,221.908,-311.206,-29.924
1.552,-1.386,1.163,217.588,-311.359,-24.763
1.597,-1.449,1.216,211.969,-312.046,-21.344
1.643,-1.493,1.260,205.252,-313.313,-19.878
1.691,-1.556,1.341,197.405,-314.702,-19.359
1.744,-1.598,1.421,189.557,-316.809,-19.191
1.778,-1.615,1.495,181.588,-321.191,-18.565
1.788,-1.634,1.579,173.481,-327.359,-17.252
1.779,-1.670,1.633,163.924,-334.840,-15.832
1.762,-1.726,1.671,155.939,-344.656,-12.962
1.721,-1.796,1.724,149.267,-353.664,-10.473
1.682,-1.844,1.765,144.794,-362.015,-8.672
1.647,-1.863,1.788,141.282,-369.206,-8.595
1.608,-1.906,1.804,138.473,-377.389,-10.656
1.556,-1.954,1.843,134.641,-385.008,-14.092
1.498,-2.000,1.885,129.740,-390.718,-19.359
1.442,-2.000,1.925,123.679,-395.771,-26.046
1.404,-2.000,1.958,115.863,-400.412,-34.061
1.369,-2.000,1.994,106.183,-403.221,-42.305
1.333,-2.000,2.000,95.115,-403.618,-50.565
1.303,-2.000,2.000,84.870,-401.985,-57.130
1.278,-1.972,2.000,75.008,-396.382,-62.931
1.232,-1.934,2.000,66.611,-389.847,-68.427
1.184,-1.875,2.000,57.832,-381.603,-73.496
1.125,-1.807,2.000,48.244,-372.336,-77.740
1.047,-1.727,2.000,36.595,-363.542,-80.824
0.974,-1.655,2.000,23.985,-355.527,-83.420
0.862,-1.562,2.000,10.550,-347.420,-86.733
0.754,-1.473,2.000,-2.046,-339.710,-89.908
0.660,-1.407,2.000,-13.863,-331.313,-93.221
0.570,-1.365,2.000,-24.748,-322.672,-96.885
0.451,-1.329,2.000,-34.641,-314.214,-102.260
0.321,-1.277,2.000,-43.282,-307.237,-109.802
0.199,-1.216,2.000,-46.931,-301.756,-119.496
0.117,-1.129,2.000,-44.580,-295.710,-130.489
0.077,-1.040,2.000,-36.855,-288.855,-139.405
