aX,aY,aZ,gX,gY,gZ
-1.053,1.557,-0.474,-500.275,-102.962,-40.809
-1.097,1.583,-0.487,-500.275,-106.153,-43.481
-1.139,1.620,-0.510,-500.275,-108.489,-45.282
-1.183,1.650,-0.518,-500.275,-111.282,-47.466
-1.323,1.755,-0.545,-500.275,-125.802,-56.931
-1.503,1.885,-0.570,-498.748,-140.702,-63.893
-1.688,1.985,-0.606,-492.473,-157.328,-66.656
-1.846,2.000,-0.677,-487.939,-172.046,-63.634
-2.000,2.000,-0.867,-484.198,-183.573,-53.115
-2.000,2.000,-0.965,-482.977,-188.656,-30.229
-2.000,2.000,-1.123,-482.580,-192.168,1.099
-2.000,2.000,-1.127,-485.389,-198.046,37.038
-2.000,2.000,-1.161,-490.122,-205.405,81.542
-2.000,2.000,-1.262,-490.427,-210.015,126.947
-2.000,2.000,-1.473,-497.420,-203.069,183.328
-2.000,2.000,-1.945,-482.412,-198.000,225.664
-2.000,1.946,-1.976,-458.534,-189.023,258.382
-2.000,1.587,-2.000,-429.450,-182.397,282.763
-2.000,1.208,-2.000,-400.672,-173.252,299.969
-2.000,0.809,-2.000,-365.557,-165.756,310.443
-2.000,0.386,-2.000,-323.817,-159.634,314.733
-2.000,-0.039,-2.000,-271.313,-155.634,313.618
-2.000,-0.460,-2.000,-206.351,-161.221,305.985
-2.000,-0.838,-2.000,-129.740,-171.878,288.000
-2.000,-1.078,-2.000,-41.237,-181.740,254.504
-2.000,-1.244,-2.000,52.198,-185.298,208.794
-2.000,-1.323,-2.000,149.527,-172.855,148.687
-1.849,-1.385,-1.925,252.000,-141.053,75.924
-1.682,-1.356,-1.392,347.756,-95.618,0.794
-1.686,-1.143,-1.047,427.389,-55.740,-68.901
-1.794,-0.771,-0.934,494.412,-19.954,-138.229
-1.876,-0.426,-0.815,500.260,1.695,-198.504
-1.910,-0.066,-0.617,500.260,9.893,-242.229
-1.886,0.249,-0.491,500.260,11.939,-273.130
-1.830,0.709,-0.328,500.260,14.427,-291.435
-1.740,1.130,-0.217,500.260,18.351,-298.687
-1.595,1.495,-0.185,500.260,22.702,-295.802
-1.417,1.784,-0.188,498.153,28.443,-283.130
-1.206,1.972,-0.201,460.046,34.733,-262.153
-1.007,2.000,-0.249,418.046,39.542,-232.672
-0.805,2.000,-0.315,377.099,40.214,-202.046
-0.618,1.990,-0.371,338.183,40.916,-170.947
-0.438,2.000,-0.368,301.695,43.878,-139.603
-0.299,2.000,-0.365,268.061,48.611,-109.924
-0.195,1.957,-0.359,238.580,56.473,-84.366
-0.126,1.781,-0.363,213.527,63.618,-61.817
-0.062,1.481,-0.404,194.702,68.076,-43.863
-0.003,1.286,-0.448,182.153,68.748,-30.092
0.025,1.117,-0.485,174.473,66.626,-19.969
0.063,0.990,-0.485,170.794,62.794,-12.137
0.057,0.847,-0.543,172.733,55.863,-6.687
0.089,0.703,-0.590,178.229,47.496,-2.565
0.108,0.606,-0.634,186.336,40.107,2.473
0.134,0.467,-0.747,196.672,31.435,7.450
0.162,0.395,-0.841,209.618,21.420,11.237
0.199,0.327,-0.922,226.260,10.626,14.519
0.231,0.300,-0.990,246.931,-0.076,17.939
0.260,0.283,-1.037,269.695,-9.466,21.832
0.265,0.241,-1.085,294.198,-17.664,25.756
0.255,0.171,-1.119,319.924,-26.458,28.504
0.245,0.133,-1.138,344.443,-35.527,29.511
0.217,0.100,-1.124,367.237,-44.290,29.298
0.177,0.067,-1.081,386.824,-51.893,27.847
0.128,0.014,-1.025,402.351,-57.847,25.847
0.071,-0.015,-0.995,414.260,-61.908,23.557
-0.014,-0.092,-0.956,424.305,-67.588,21.282
-0.069,-0.203,-0.975,433.435,-79.527,18.672
-0.104,-0.271,-0.986,442.611,-92.031,14.794
-0.118,-0.344,-0.968,451.832,-102.305,10.947
-0.123,-0.429,-0.914,463.603,-111.634,6.595
-0.149,-0.497,-0.847,476.397,-121.023,1.664
-0.177,-0.542,-0.794,489.603,-131.588,-4.580
-0.202,-0.577,-0.728,500.260,-143.282,-12.229
-0.231,-0.588,-0.696,500.260,-157.740,-20.443
-0.235,-0.583,-0.673,500.260,-172.595,-27.679
-0.239,-0.601,-0.656,500.260,-187.649,-32.489
-0.253,-0.602,-0.628,500.260,-201.099,-35.664
-0.266,-0.633,-0.599,500.260,-212.870,-37.084
-0.281,-0.696,-0.602,500.260,-224.122,-37.573
-0.290,-0.757,-0.602,500.260,-234.336,-37.740
-0.291,-0.825,-0.592,500.260,-245.328,-38.397
-0.303,-0.857,-0.576,500.260,-254.763,-39.863
-0.284,-0.907,-0.576,500.260,-263.252,-42.718
-0.246,-0.931,-0.567,500.260,-269.191,-46.580
-0.186,-0.928,-0.559,500.260,-272.550,-52.840
-0.146,-0.930,-0.557,500.260,-271.145,-61.084
-0.097,-0.937,-0.529,500.260,-265.771,-70.229
-0.064,-0.978,-0.484,500.260,-256.198,-80.565
-0.062,-0.979,-0.451,500.260,-243.191,-89.847
-0.079,-0.962,-0.375,493.038,-225.130,-100.046
-0.092,-0.943,-0.305,481.466,-205.786,-110.183
-0.105,-0.945,-0.248,468.626,-187.282,-119.282
-0.100,-0.935,-0.186,455.771,-172.244,-127.130
-0.068,-0.930,-0.103,442.641,-160.137,-132.779
-0.048,-0.892,-0.038,428.427,-148.412,-137.115
0.007,-0.860,-0.004,414.504,-138.580,-140.336
0.092,-0.820,-0.001,399.969,-129.527,-142.214
0.179,-0.771,0.008,383.298,-115.527,-144.290
0.257,-0.766,0.025,364.870,-98.565,-145.511
0.326,-0.741,0.085,343.649,-76.626,-147.924

-0.914,1.248,-0.878,-416.290,26.122,15.069
-0.958,1.273,-0.878,-416.580,25.908,14.611
-0.989,1.301,-0.883,-416.977,25.466,14.092
-0.989,1.301,-0.883,-417.344,24.977,13.695
-1.097,1.374,-0.900,-417.405,22.397,13.282
-1.242,1.465,-0.920,-416.336,16.656,14.611
-1.373,1.539,-0.949,-413.863,8.718,19.710
-1.476,1.573,-0.966,-410.305,-1.313,28.870
-1.583,1.580,-0.984,-405.557,-12.412,42.046
-1.681,1.579,-0.969,-399.038,-25.206,59.939
-1.770,1.572,-0.970,-390.855,-37.252,81.237
-1.858,1.549,-0.953,-380.977,-48.687,104.901
-1.934,1.481,-0.962,-370.122,-60.947,130.595
-2.000,1.410,-0.983,-359.649,-75.053,154.885
